id,original_language,overview,release_date,title,popularity,vote_average,vote_count,genre,director,year
113,ko,"An isolated lake, where an old monk lives in a small floating temple. The monk has a young boy living with him, learning to become a monk. We watch as seasons and years pass by.",2003-09-19,"Spring, Summer, Fall, Winter... and Spring",2.9249,7.798,1092,Drama,Kim Ki-duk,2003
84892,en,"Pittsburgh, Pennsylvania, 1991. High school freshman Charlie is a wallflower, always watching life from the sidelines, until two senior students, Sam and her stepbrother Patrick, become his mentors, helping him discover the joys of friendship, music and love.",2012-09-20,The Perks of Being a Wallflower,10.6205,7.798,10640,Drama,Stephen Chbosky,2012
5915,en,"After graduating from Emory University in 1992, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity, and hitchhikes to Alaska to live in the wilderness.",2007-09-21,Into the Wild,13.2707,7.797,9661,"Adventure, Drama",Sean Penn,2007
937746,it,"Longing for a brighter future, two Senegalese teenagers embark on a journey from West Africa to Italy. However, between their dreams and reality lies a labyrinth of checkpoints, the Sahara Desert, and the vast waters of the Mediterranean.",2023-09-07,Io Capitano,4.1598,7.796,738,"Adventure, Drama",Matteo Garrone,2023
593,ru,A psychologist is sent to a space station orbiting a planet called Solaris to investigate the death of a doctor and the mental problems of cosmonauts on the station. He soon discovers that the water on the planet is a type of brain which brings out repressed memories and obsessions.,1972-03-20,Solaris,5.0821,7.8,1658,"Drama, Science Fiction, Mystery",Andrei Tarkovsky,1972
49797,ko,"Kyung-chul is a dangerous psychopath who kills for pleasure. Soo-hyeon, a top-secret agent, decides to track down the murderer himself. He promises himself that he will do everything in his power to take vengeance against the killer, even if it means that he must become a monster himself.",2010-08-12,I Saw the Devil,8.6435,7.8,2696,"Thriller, Horror",Kim Jee-woon,2010
22843,ja,"Under constant attack by monstrous creatures called Angels that seek to eradicate humankind, U.N. Special Agency NERV introduces two new EVA pilots to help defend the city of Tokyo-3: the mysterious Makinami Mari Illustrous and the intense Asuka Langley Shikinami. Meanwhile, Gendo Ikari and SEELE proceed with a secret project that involves both Rei and Shinji.",2009-06-26,Evangelion: 2.0 You Can (Not) Advance,3.2031,7.795,895,"Animation, Science Fiction, Action, Drama",Masayuki,2009
22683,en,Gifted Hands: The Ben Carson Story is a movie based on the life story of world-renowned neurosurgeon Ben Carson from 1961 to 1987.,2009-02-07,Gifted Hands: The Ben Carson Story,6.9725,7.795,711,Drama,Thomas Carter,2009
2118,en,Three detectives in the corrupt and brutal L.A. police force of the 1950s use differing methods to uncover a conspiracy behind the shotgun slayings of the patrons at an all-night diner.,1997-09-19,L.A. Confidential,4.1997,7.795,5098,"Crime, Mystery, Thriller, Drama",Curtis Hanson,1997
13042,en,"Dignity. Poise. Mystery. We expect nothing less from the great turn-of-the-century magician, Presto. But when Presto neglects to feed his rabbit one too many times, the magician finds he isn't the only one with a few tricks up his sleeve!",2008-06-27,Presto,1.3528,7.793,1008,"Animation, Family, Comedy",Doug Sweetland,2008
11697,en,"Questions arise when Senator Stoddard attends the funeral of a local man named Tom Doniphon in a small Western town. Flashing back, we learn Doniphon saved Stoddard, then a lawyer, when he was roughed up by a crew of outlaws terrorizing the town, led by Liberty Valance. As the territory's safety hung in the balance, Doniphon and Stoddard, two of the only people standing up to him, proved to be very important, but different, foes to Valance.",1962-04-13,The Man Who Shot Liberty Valance,3.4623,7.792,1180,Western,John Ford,1962
